date,PRCP,SNOW,TMAX
2021-02-05T00:00:00,0.07,0,47
2021-02-06T00:00:00,0,0,44
2021-02-07T00:00:00,0.39,4.5,40
2021-02-08T00:00:00,0,0,29
2021-02-09T00:00:00,0,0,33
2021-02-10T00:00:00,0.01,0,35
2021-02-11T00:00:00,0.1,1.3,33
2021-02-12T00:00:00,0,0,30
2021-02-13T00:00:00,0,0,30
2021-02-14T00:00:00,0,0,38
2021-02-15T00:00:00,0.02,0,36
2021-02-16T00:00:00,0.82,0,51
2021-02-17T00:00:00,0,0,34
2021-02-18T00:00:00,0.45,3.2,30
2021-02-19T00:00:00,0.14,1.2,33
2021-02-20T00:00:00,0,0,35
2021-02-21T00:00:00,0,0,37
2021-02-22T00:00:00,0.52,0.4,39
2021-02-23T00:00:00,0.01,0,45
2021-02-24T00:00:00,0,0,54
2021-02-25T00:00:00,0,0,50
2021-02-26T00:00:00,0,0,45
2021-02-27T00:00:00,0.39,0,50
2021-02-28T00:00:00,0.22,0,45
2021-03-01T00:00:00,0.16,0,49
2021-03-02T00:00:00,0,0,33
2021-03-03T00:00:00,0,0,52
2021-03-04T00:00:00,0,0,45
2021-03-05T00:00:00,0,0,37
2021-03-06T00:00:00,0,0,34
2021-03-07T00:00:00,0,0,41
2021-03-08T00:00:00,0,0,43
2021-03-09T00:00:00,0,0,64
2021-03-10T00:00:00,0,0,54
2021-03-11T00:00:00,0,0,71
2021-03-12T00:00:00,0,0,68
2021-03-13T00:00:00,0,0,52
2021-03-14T00:00:00,0,0,54
2021-03-15T00:00:00,0,0,39
2021-03-16T00:00:00,0,0,37
2021-03-17T00:00:00,0,0,47
2021-03-18T00:00:00,0.6,0,47
2021-03-19T00:00:00,0.07,0,43
2021-03-20T00:00:00,0,0,59
2021-03-21T00:00:00,0,0,63
2021-03-22T00:00:00,0,0,62
2021-03-23T00:00:00,0,0,66
2021-03-24T00:00:00,1.27,0,56
2021-03-25T00:00:00,0.01,0,68
2021-03-26T00:00:00,0.19,0,82
2021-03-27T00:00:00,0,0,69
2021-03-28T00:00:00,0.76,0,60
2021-03-29T00:00:00,0,0,55
2021-03-30T00:00:00,0,0,61
2021-03-31T00:00:00,0.35,0,67
2021-04-01T00:00:00,0.03,0,58
2021-04-02T00:00:00,0,0,39
2021-04-03T00:00:00,0,0,53
2021-04-04T00:00:00,0,0,65
2021-04-05T00:00:00,0,0,68
2021-04-06T00:00:00,0,0,70
2021-04-07T00:00:00,0,0,72
2021-04-08T00:00:00,0,0,70
2021-04-09T00:00:00,0.01,0,59
2021-04-10T00:00:00,0.01,0,70
2021-04-11T00:00:00,0.42,0,57
2021-04-12T00:00:00,0.49,0,51
2021-04-13T00:00:00,0.06,0,65
2021-04-14T00:00:00,0,0,72
2021-04-15T00:00:00,0.83,0,58
2021-04-16T00:00:00,0.04,0,53
2021-04-17T00:00:00,0,0,56
2021-04-18T00:00:00,0,0,64
2021-04-19T00:00:00,0,0,65
2021-04-20T00:00:00,0,0,76
2021-04-21T00:00:00,0.11,0,68
2021-04-22T00:00:00,0,0,48
2021-04-23T00:00:00,0,0,64
2021-04-24T00:00:00,0,0,72
2021-04-25T00:00:00,0.59,0,63
2021-04-26T00:00:00,0,0,60
2021-04-27T00:00:00,0,0,64
2021-04-28T00:00:00,0.05,0,85
2021-04-29T00:00:00,0.02,0,75
2021-04-30T00:00:00,0.03,0,71
2021-05-01T00:00:00,0,0,65
2021-05-02T00:00:00,0,0,82
2021-05-03T00:00:00,0.58,0,66
2021-05-04T00:00:00,0.23,0,73
2021-05-05T00:00:00,0.31,0,62
2021-05-06T00:00:00,0,0,66
2021-05-07T00:00:00,0,0,66
2021-05-08T00:00:00,0.05,0,55
2021-05-09T00:00:00,0.47,0,65
2021-05-10T00:00:00,0.03,0,60
2021-05-11T00:00:00,0,0,67
2021-05-12T00:00:00,0,0,68
2021-05-13T00:00:00,0,0,72
2021-05-14T00:00:00,0,0,76
2021-05-15T00:00:00,0,0,79
2021-05-16T00:00:00,0.01,0,75
2021-05-17T00:00:00,0,0,78
2021-05-18T00:00:00,0,0,82
2021-05-19T00:00:00,0,0,86
2021-05-20T00:00:00,0,0,76
2021-05-21T00:00:00,0,0,79
2021-05-22T00:00:00,0,0,89
2021-05-23T00:00:00,0,0,88
2021-05-24T00:00:00,0,0,68
2021-05-25T00:00:00,0,0,73
2021-05-26T00:00:00,0.07,0,86
2021-05-27T00:00:00,0.02,0,81
2021-05-28T00:00:00,1.22,0,69
2021-05-29T00:00:00,0.46,0,51
2021-05-30T00:00:00,0.89,0,51
2021-05-31T00:00:00,0.02,0,70
2021-06-01T00:00:00,0,0,76
2021-06-02T00:00:00,0,0,75
2021-06-03T00:00:00,0.38,0,74
2021-06-04T00:00:00,0.39,0,78
2021-06-05T00:00:00,0,0,89
2021-06-06T00:00:00,0,0,92
2021-06-07T00:00:00,0.07,0,91
2021-06-08T00:00:00,0.47,0,90
2021-06-09T00:00:00,0.01,0,90
2021-06-10T00:00:00,0,0,84
2021-06-11T00:00:00,0,0,69
2021-06-12T00:00:00,0,0,69
2021-06-13T00:00:00,0.01,0,76
2021-06-14T00:00:00,0.22,0,73
2021-06-15T00:00:00,0,0,80
2021-06-16T00:00:00,0,0,77
2021-06-17T00:00:00,0,0,78
2021-06-18T00:00:00,0,0,84
2021-06-19T00:00:00,0.14,0,88
2021-06-20T00:00:00,0,0,86
2021-06-21T00:00:00,0,0,86
2021-06-22T00:00:00,0.24,0,78
2021-06-23T00:00:00,0,0,76
2021-06-24T00:00:00,0,0,77
2021-06-25T00:00:00,0,0,81
2021-06-26T00:00:00,0.04,0,83
2021-06-27T00:00:00,0,0,90
2021-06-28T00:00:00,0,0,92
2021-06-29T00:00:00,0,0,95
2021-06-30T00:00:00,0.65,0,98
2021-07-01T00:00:00,0.9,0,84
2021-07-02T00:00:00,0.67,0,79
2021-07-03T00:00:00,0.34,0,66
2021-07-04T00:00:00,0,0,79
2021-07-05T00:00:00,0,0,83
2021-07-06T00:00:00,0.55,0,92
2021-07-07T00:00:00,0,0,91
2021-07-08T00:00:00,2.27,0,84
2021-07-09T00:00:00,2.06,0,85
2021-07-10T00:00:00,0.27,0,81
2021-07-11T00:00:00,0.01,0,78
2021-07-12T00:00:00,1.42,0,86
2021-07-13T00:00:00,0,0,72
2021-07-14T00:00:00,0,0,87
2021-07-15T00:00:00,0,0,89
2021-07-16T00:00:00,0,0,91
